WELLNUM,DEPTH,SW,protocol,split_id,method,seed,alpha,target_coverage,pred,lower,upper,width,covered,method_label,local_calibration_frac,local_calibration_strategy,stress_curves,clip_intervals,setting
6,11024.93,1.0,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.9977593744812372,0.5776881772727274,1.0,0.4223118227272726,True,WL-PCQR,0.2,stratified,"RDEP_LOG10,RMED_LOG10",True,RDEP_LOG10 + RMED_LOG10 hidden
6,11053.48,1.0,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.999102055777737,0.5746263875000001,1.0,0.4253736124999999,True,WL-PCQR,0.2,stratified,"RDEP_LOG10,RMED_LOG10",True,RDEP_LOG10 + RMED_LOG10 hidden
6,11082.35,1.0,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.999155688590237,0.57785545,1.0,0.4221445499999999,True,WL-PCQR,0.2,stratified,"RDEP_LOG10,RMED_LOG10",True,RDEP_LOG10 + RMED_LOG10 hidden
6,11110.89,1.0,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.9977593744812372,0.5776881772727274,1.0,0.4223118227272726,True,WL-PCQR,0.2,stratified,"RDEP_LOG10,RMED_LOG10",True,RDEP_LOG10 + RMED_LOG10 hidden
6,11168.63,0.76,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.9353656870187488,0.3907518339285714,1.0,0.6092481660714286,True,WL-PCQR,0.2,stratified,"RDEP_LOG10,RMED_LOG10",True,RDEP_LOG10 + RMED_LOG10 hidden
6,11197.18,1.0,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.9999209232026144,0.57785545,1.0,0.4221445499999999,True,WL-PCQR,0.2,stratified,"RDEP_LOG10,RMED_LOG10",True,RDEP_LOG10 + RMED_LOG10 hidden
6,11226.05,1.0,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.9990566709506796,0.5746263875000001,1.0,0.4253736124999999,True,WL-PCQR,0.2,stratified,"RDEP_LOG10,RMED_LOG10",True,RDEP_LOG10 + RMED_LOG10 hidden
6,11254.92,1.0,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.9677475294354198,0.4090587166666667,1.0,0.5909412833333333,True,WL-PCQR,0.2,stratified,"RDEP_LOG10,RMED_LOG10",True,RDEP_LOG10 + RMED_LOG10 hidden
6,11312.34,0.803,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.953555039104102,0.3917795125,1.0,0.6082204875,True,WL-PCQR,0.2,stratified,"RDEP_LOG10,RMED_LOG10",True,RDEP_LOG10 + RMED_LOG10 hidden
6,11340.88,1.0,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.971802381118252,0.4138810186274511,1.0,0.5861189813725489,True,WL-PCQR,0.2,stratified,"RDEP_LOG10,RMED_LOG10",True,RDEP_LOG10 + RMED_LOG10 hidden
