WELLNUM,DEPTH,SW,protocol,split_id,method,seed,alpha,target_coverage,pred,lower,upper,width,covered,method_label,local_calibration_frac,local_calibration_strategy,stress_curves,clip_intervals,setting
6,11024.93,1.0,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,1.0089565168885843,1.0,1.0,0.0,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11053.48,1.0,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,1.0046014020092988,0.992594233147351,1.0,0.007405766852649,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11082.35,1.0,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,1.0042190234155488,0.988122459710288,1.0,0.0118775402897121,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11110.89,1.0,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,1.006929382531535,0.980948339637197,1.0,0.019051660362803,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11168.63,0.76,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.8474116506387309,0.647212899296922,1.0,0.3527871007030779,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11197.18,1.0,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.951940163127288,0.7237735129824062,1.0,0.2762264870175938,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11226.05,1.0,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,1.003629566382052,0.9802568694960022,1.0,0.0197431305039977,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11254.92,1.0,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.9776593840703308,0.8373905551019406,1.0,0.1626094448980594,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11312.34,0.803,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.8317941899872494,0.5521404170585712,1.0,0.4478595829414288,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11340.88,1.0,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.9878728783118614,0.842212857062725,1.0,0.157787142937275,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11369.75,1.0,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.9517170105747036,0.745427572526183,1.0,0.254572427473817,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11398.62,0.117,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.1068794628664052,0.0939547723660764,0.1518691373005218,0.0579143649344454,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11456.04,0.109,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.0969133488417826,0.0914306155688096,0.1529525466911432,0.0615219311223336,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11484.91,0.097,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.1063693059241311,0.0943648661160764,0.1551035117795134,0.060738645663437,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11513.45,0.206,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.1440389994334068,0.0337559151310626,0.2684957663005412,0.2347398511694786,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11542.32,0.131,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.1285605753333156,0.1017846951639682,0.1494729741936865,0.0476882790297183,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11570.87,0.135,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.1439269676194789,0.1120394769017075,0.1811423653723012,0.0691028884705936,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11628.61,0.44,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.366974712138066,0.3007978079010591,0.5204544302441022,0.2196566223430431,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11657.15,0.346,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.3194183162813935,0.3027685871218383,0.4022870969107692,0.0995185097889309,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11686.02,0.572,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.474626343853599,0.2052501182992758,0.7094517662624787,0.5042016479632029,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11714.89,0.202,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.189879846242443,0.1092530362934558,0.3084881620592792,0.1992351257658234,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11772.31,0.403,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.3418441529071697,0.2618727700222711,0.4975131165186123,0.2356403464963412,True,WL-PCQR,0.2,stratified,none,True,Observed logs
6,11800.85,0.225,LOWO_LOCAL_CAL,LOWO_LOCAL_6,wl_pcqr,42,0.1,0.9,0.2140202565795975,0.1816860507984424,0.2546459289496353,0.0729598781511928,True,WL-PCQR,0.2,stratified,none,True,Observed logs
